,no,yes
0,sweet orange,orange
1,calabrian bergamot,bergamot
2,bulgarian rose,rose
3,verbena,lemon verbena
4,lavander,lavender
5,italian bergamot,bergamot
6,italian orange,orange
7,paraguaian petitgrain,petitgrain
8,russian coriander oil,coriander
9,jasmine sambac absolute,jasime
10,france narcissus absolute,narcissus
11,virginian cedarwood,cedarwood
12,indonesian patchouli,patchouli
13,sicilian lemon,lemon
14,leather accord,leather
15,cedar wood,cedar
16,mandarin,mandarin orange
17,petit grain,petitgrain
18,lily of the valley,lily of the valley leaves
19,rose accord,rose
20,jasmine accord,jasmine
21,white musk,musk
22,sicilian mandarin,mandarin orange
23,galbanol,galbanum
24,haitian vetiver,vetiver
25,ambergris accord,ambergris
26,cedarwood,cedar
27,italian sweet orange,orange
28,italian mandarin,mandarin orange
29,italian lemon,lemon
30,fig nectar,fig
31,jasmine petals,jasmine
32,fig wood,fig tree
33,star anise accord,star anise
34,lavandin,lavender
35,fir balsam,fir
36,pine needles,pine tree
37,marine breeze,sea water
38,jasmine absolute,jasmine
39,damask rose absolute,rose
40,lentisc ansolute,mastic or lentisque
41,calabrian bergamot dop,bergamot
42,red ginger,ginger
43,green almonds,almonds
44,ylang ylang,ylang-ylang
45,madagascar vanilla,vanilla
46,lebanese cedarwood,cedar
47,haitian amyris oil,amyris
48,russian coriander,coriander
49,agarwood oil (oud),agarwoon (oud)
50,patchouli oil,patchouli
51,brazilian orange,orange
52,raspberry accord,raspberry
53,red thyme,thyme
54,paraguayan guaiac oil,guaiac wood
55,nagarmotha,cypriol oil or nagarmotha
56,heliotrhope,heliotrope
57,jasmine sambac,jasmine
58,violet leaves,violet leaf
59,liquorice,licorice
60,yellow mandarin,mandarin orange
61,camelia accord,camella
62,benzoin resinoid,benzoin
63,green mandarin,mandarin orange
64,ambrette,ambrette (musk mallow)
65,sakura,cherry blossom
66,centifolia rose absolute,rose
67,peony accord,peony
68,black pepper,pepper
69,egyptian geranium,geranium
70,freesia accord,freesia
71,turkish rose,rose
72,ambery accord,amber
73,patchouli indonesia,patchouli
74,sicilian citron,citron
75,tuberose absolute,tuberose
76,jasmine sambac absolute,jasmine
77,violet accord,violet
78,guaiac,guaiac wood
79,olibanum,olibanum (frankincense)
80,ciste,rose
81,orange flower,orange blossom
82,cisto ladbanum,rose
83,calabrian lemon,lemon
84,mate,mate
85,blackcurrant,black currant
86,ceylon black tea,earl grey tea
87,birch woods,birch
88,payrus,papyrus
89,orris,orris root
90,pine needle,pine tree
91,african marigold,marigold
92,bucchu,buchu
93,moroccan cedarwood,cedar
94,turkish rose petals,rose
95,turkish rose absolute,rose
96,white amber,amber
97,aldehyde,aldehydes
98,white rose,rose
99,blonde woods,woody notes
100,chantilly musk,musk
101,crisp amber,amber
102,rose petals,rose
103,silk musk,musk
104,unknown,unknown
105,leather accord,leather
106,black amber,amber
107,moss,oakmoss
108,tobacco leaves,tobacco blossom
109,ban timmur,pepper
110,wild fig,fig
111,cashmere woods,cashmir wood
112,mandarin leaves,mandarin orange blossom
113,neroli flower,neroli
114,green lavender,lavender
115,white cedarwood,cedar
116,indian tuberose,tuberose
117,rosewood,brazilian rosewood
118,honey accord,honey
119,black tea,earl grey tea
120,birch tree,birch
121,ambrette seeds,ambretts (musk mallow)
122,rose damascena,rose
123,cistus labdanum,rose
124,opopanax,opoponax
125,powdery musks,musk
126,oud,arganwood (oud)
127,adoxal,aldehydes
128,clover honey,honey
129,patchouli leaf,patchouli
130,accord cuir,leather
131,black violet,violet
132,cristal rose,rose
133,cassis,cassia
134,damascena rose (oil),rose
135,pink freesia,freesia
136,fresh jasmine,jasmine
137,sicilian bergamot,bergamot
138,fresh musk,musk
139,rose absolute,rose
140,ambrette flower,ambretts (musk mallow)
141,skin musks,musk
142,tiare,tiare flower
143,peach flower,peach blossom
144,angelica seeds,angelica
145,dewy tuberose,tuberose
146,wild jasmine sambac,jasmine
147,fresh amber,amber
148,patchouli leaves,patchouli
149,cotton musks,musk
150,cocoa absolu,dark chocolate
151,wild musk,musk
152,bigarade essence,bigarade
153,basil essence,basil
154,geranium essence,geranium
155,rosemary essence,rosemary
156,evernyl,oakmoss
157,white musks,musk
158,notes of tonka beans and white musk,tonka bean
159,black pepper,pepper
160,basil accord,basil
161,transluzone,aldehydes
162,cococut milk,coconut
163,crushed leaves accord,fig leaf
164,sambac jasmine from india,jasmine
165,infusion of egyptian jasmine,jasmine
166,infusion of tuberose,tuberose
167,rose from grasse,rose
168,cedar wood,cedar
169,oak moss,oakmoss
170,orange flower petals,orange blossom
171,clove oil,clove leaf
172,chestnut accord,chestnut
173,gaïac wood oil,guaiac wood
174,vanilla accord,vanilla
175,pepper essence,pepper
176,orange flower petals firnat,orange blossom
177,patchouli prisma,patchouli
178,cypriol,cypriol oil or nagarmotha
179,tonka bean absolute,tonka bean
180,benzoin siam resinoid,benzoin
181,vanilla absolute,vanilla
182,cedarwood entrainé,cedar
183,greenleaves accord,currant leaf and bud
184,sambac jasmine,jasmine
185,egyptian jasmine,jasmine
186,grasse rose,rose
187,oak moss,oakmoss
188,primofiore lemon,lemon
189,neroli oil,neroli
190,clarysage oil,clary sage
191,rum absolute,rum
192,java vetiver oil,vetiver
193,styraxresin,styrax
194,tobacco leaf absolute,tobacco blossom
195,vanilla bean,vanilla
196,pear accord,pear
197,clean accord,aldehydes
198,iris accord,iris
199,rose petales,rose
200,white woods,woody notes
201,white & creamy musk,musk
202,bergamot essence,bergamot
203,mandarine essence,mandarin orange
204,green tea accord,matcha tea
205,matcha accord,matcha tea
206,orange blossom absolute,orange blossom
207,jasmin accord,jasmine
208,moss accord,oakmoss
209,white chocolate accord,white chocolate
210,weed accord,horseweed
211,violet leaves absolute,violet
212,red apple accord,red apple
213,patchouli essence,patchouli
214,tobacco from balkans accord,tobacco
215,incense accord,incense
216,virginia cedarwood essence,cedar
217,cypress essence,cypress
218,aquatic accord,water
219,aldehydes accord,aldehydes
220,juniper pure jungle essence,juniper
221,coriander eo,coriander
222,iris absolute,iris
223,rose superessence,rose
224,red seaweed pure jungle essence,seweed
225,orcanox,musk
226,blackcurrant accord,black currant
227,lily of the valley accord,lily of the valley leaves
228,jasmine grandiflorum absolute,jasmine
229,rose damascena absolute,rose
230,musks,musk
231,ambrox,ambroxan
232,kalamansi flavor accord,calamansi
233,petitgrain essence,petitgrain
234,cardamom essence,cardamom
235,coriander essence,coriander
236,mate absolute,mate
237,green tea extract,matcha tea
238,cedarwood essence,cedar
239,fresh citrus notes,citruses
240,oriental sweet note,oriental notes
241,black current,black currant
242,white musk,musk
243,precious woods,woody notes
244,calabrian bergamot,bergamot
245,tuscan tobacco leaves,tobacco
246,birch leaves,birch
247,spices,indian spices
248,cedar wood,cedar
249,burnt malt,malt
250,floral,floral notes
251,citrus notes,citruses
252,floral powdery notes,floral notes
253,sweet oriental notes,oriental notes
254,red thyme,thyme
255,floral note with citrus shades,floral notes
256,aromatic woods,limnophila aromatica
257,citrus,citruses
258,tobacco leaves,tobacco blossom
259,sweet notes,honey
260,salvia sclarea,clary sage
261,sicilian lemon,lemon
262,sumatra benzoin,benzoin
263,korean pine,pine tree
264,conifers,pine tree
265,wild lavender,lavender
266,helichrysum,sunflower
267,wild fennel,fennel
268,orange blossoms,orange blossom
269,green tea,matcha tea
270,softwoods,wood
271,sicilian citrus,citruses
272,benzoin resin,resin
273,genista (broom),lydia broom
274,sweet floral notes,floral notes
275,woods,wood
276,fresh notes,aldehydes
277,oak musk,oak
278,fig flowers,fig leaf
279,herbaceous green notes,green notes
280,fresh marine notes,sea water
281,rosa centifolia,rose
282,oriental woods,wood
283,sweetgum resin,resins
284,virginia cedar wood,cedar
285,rose wood,brazilian rosewood
286,violet leaves,violet leaf
287,birch wood,wood
288,green aromatic notes,green notes
289,clove,cloves
290,paprika,green pepper
291,black cardamom,cardamon
292,kyara incense (olibanum),olibanum(frankincense)
293,damask rose,rose
294,clove,cloves
295,myrhh,myrrh
296,virginia cedar,cedar
297,vanille,vanilla
298,amalfi lemon,lemon
299,sea salt,salt
300,rhuburb,rhubarb
301,egyptian pelargonium,pelargonium
302,vetyver,vetiver
303,spices,spicy notes
304,italian cypress,cypress
305,roasted coffee beans,coffee
306,bourbon vanilla,vanilla
307,elemi resin,resins
308,white honey,honey
309,african orange flower,orange blossom
310,orange leaf,orange
311,rock rose,rose
312,white pepper,pepper
313,peppermint,mint
314,red mandarin,mandarin orange
315,brazilian pintango orange,orange
316,carraway,caraway
317,tunisian orange blossom,orange blossom
318,patchouli flowers,patchouli
319,green violet leaf,violet leaf
320,sicilian orange blossom,orange blossom
321,mexican vanilla orchid,orchid
322,granny smith apple,apple
323,blackcurrant leaves,back currant leaf
324,pink berries,"arbutus (madrona, bearberry tree)"
325,baie rose,rose
326,indian sandalwood,sandalwood
327,verbena from india,lemon verbena
328,florentine iris,iris
329,green tea,matcha tea
330,blackcurrant bud,black currant
331,egyptian green apple,apple
332,bulgarian and turkish roses,rose
333,sweet peach,peach
334,la réunion baie rose (pink peppercorn),rose
335,peppercorn,peppercorn
336,indian patchouli,patchouli
337,lavandin absolute,lavender
338,angelica roots,angelica
339,tonkin musk,musk
340,sicilian white bergamot,bergamot
341,jamaican lime,lime
342,indian jasmine,jasmine
343,tropical wood,woody notes
344,vetiver leaves,vetiver
345,mysore sandalwood,sandalwood
346,orange tree absolute,lemon tree
347,jamaican ginger,ginger
348,siam benzoin,benzoin
349,pinkberries,"arbutus (madrona, bearberry tree)"
350,british gin,gin
351,scottish highland pine,pine tree
352,duke of windsor roses,rose
353,bahamian orange,orange
354,canadian cedar,cedar
355,australian eucalyptus,eucalyptus
356,orange zest from italy,orange
357,french daffodils,narcissus
358,tonkin rice,rice
359,sweet violet,violet
360,iris from tuscany,iris
361,benjoin siam,siam
362,and apple,apple
363,white carnations,carnation
364,virginia cedarwood,cedar
365,white grapefruit,grapefruit
366,bulgarian roses,rose
367,sweet magnolia,magnolia
368,basmati rice,rice
369,virginian cedar,cedar
370,violet from greece,violet
371,burgundy blackcurrant,black currant
372,green orange,orange
373,tuberose from italy,tuberose
374,cinnamon bark,cinnamon
375,angelic roots,angelica
376,pimento (jamaican pepper),pimento
377,vetiver from haiti,vetiver
378,vanilla from comoros (africa),vanilla
379,white bergamot,bergamot
380,green apple,apple
381,fruity accord,fruity notes
382,floral accord,floral notes
383,absolute jasmine,jasmine