,brand,name,note,category
0,acquadiparma,colonia,lemon,top
1,acquadiparma,colonia,sweet orange,top
2,acquadiparma,colonia,calabrian bergamot,top
3,acquadiparma,colonia,lavender,mid
4,acquadiparma,colonia,bulgarian rose,mid
5,acquadiparma,colonia,verbena,mid
6,acquadiparma,colonia,rosemary,mid
7,acquadiparma,colonia,vetiver,bot
8,acquadiparma,colonia,sandalwood,bot
9,acquadiparma,colonia,patchouli,bot
10,acquadiparma,coloniafutura,bergamot,top
11,acquadiparma,coloniafutura,grapefruit,top
12,acquadiparma,coloniafutura,lemon,top
13,acquadiparma,coloniafutura,pink pepper,top
14,acquadiparma,coloniafutura,clary sage,mid
15,acquadiparma,coloniafutura,lavander,mid
16,acquadiparma,coloniafutura,vetiver,bot
17,acquadiparma,coloniapura,italian bergamot,top
18,acquadiparma,coloniapura,italian orange,top
19,acquadiparma,coloniapura,paraguaian petitgrain,top
20,acquadiparma,coloniapura,russian coriander oil,mid
21,acquadiparma,coloniapura,jasmine sambac absolute,mid
22,acquadiparma,coloniapura,france narcissus absolute,mid
23,acquadiparma,coloniapura,virginian cedarwood,bot
24,acquadiparma,coloniapura,indonesian patchouli,bot
25,acquadiparma,coloniapura,musk,bot
26,acquadiparma,coloniaintensa,cardamom,top
27,acquadiparma,coloniaintensa,calabrian bergamot,top
28,acquadiparma,coloniaintensa,sicilian lemon,top
29,acquadiparma,coloniaintensa,ginger,top
30,acquadiparma,coloniaintensa,myrtle,mid
31,acquadiparma,coloniaintensa,artemisia,mid
32,acquadiparma,coloniaintensa,neroli,mid
33,acquadiparma,coloniaintensa,leather accord,bot
34,acquadiparma,coloniaintensa,cedar wood,bot
35,acquadiparma,coloniaintensa,patchouli,bot
36,acquadiparma,coloniaintensa,benzoin,bot
37,acquadiparma,coloniaintensa,musk,bot
38,acquadiparma,coloniaessenza,lemon,top
39,acquadiparma,coloniaessenza,orange,top
40,acquadiparma,coloniaessenza,bergamot,top
41,acquadiparma,coloniaessenza,mandarin,top
42,acquadiparma,coloniaessenza,grapefruit,top
43,acquadiparma,coloniaessenza,neroli,top
44,acquadiparma,coloniaessenza,petit grain,top
45,acquadiparma,coloniaessenza,rosemary,mid
46,acquadiparma,coloniaessenza,lily of the valley,mid
47,acquadiparma,coloniaessenza,rose accord,mid
48,acquadiparma,coloniaessenza,jasmine accord,mid
49,acquadiparma,coloniaessenza,cloves,mid
50,acquadiparma,coloniaessenza,vetiver,bot
51,acquadiparma,coloniaessenza,patchouli,bot
52,acquadiparma,coloniaessenza,white musk,bot
53,acquadiparma,coloniaessenza,amber,bot
54,acquadiparma,coloniaclub,sicilian lemon,top
55,acquadiparma,coloniaclub,petit grain,top
56,acquadiparma,coloniaclub,bergamot,top
57,acquadiparma,coloniaclub,sicilian mandarin,top
58,acquadiparma,coloniaclub,mint,top
59,acquadiparma,coloniaclub,neroli,top
60,acquadiparma,coloniaclub,lavender,mid
61,acquadiparma,coloniaclub,geranium,mid
62,acquadiparma,coloniaclub,galbanol,mid
63,acquadiparma,coloniaclub,haitian vetiver,bot
64,acquadiparma,coloniaclub,white musk,bot
65,acquadiparma,coloniaclub,ambergris accord,bot
66,acquadiparma,bergamottodicalabrialaspugnatura,bergamot,top
67,acquadiparma,bergamottodicalabrialaspugnatura,bitter orange,top
68,acquadiparma,bergamottodicalabrialaspugnatura,mandarin,top
69,acquadiparma,bergamottodicalabrialaspugnatura,grapefruit,top
70,acquadiparma,bergamottodicalabrialaspugnatura,galbanum,mid
71,acquadiparma,bergamottodicalabrialaspugnatura,geranium,mid
72,acquadiparma,bergamottodicalabrialaspugnatura,cedarwood,bot
73,acquadiparma,bergamottodicalabrialaspugnatura,vetiver,bot
74,acquadiparma,aranciadicapri,italian sweet orange,top
75,acquadiparma,aranciadicapri,italian mandarin,top
76,acquadiparma,aranciadicapri,italian lemon,top
77,acquadiparma,aranciadicapri,petit grain,mid
78,acquadiparma,aranciadicapri,cardamom,mid
79,acquadiparma,aranciadicapri,caramel,bot
80,acquadiparma,aranciadicapri,musk,bot
81,acquadiparma,ficodiamalfi,italian lemon,top
82,acquadiparma,ficodiamalfi,italian bergamot,top
83,acquadiparma,ficodiamalfi,grapefruit,top
84,acquadiparma,ficodiamalfi,fig nectar,mid
85,acquadiparma,ficodiamalfi,pink pepper,mid
86,acquadiparma,ficodiamalfi,jasmine petals,mid
87,acquadiparma,ficodiamalfi,fig wood,bot
88,acquadiparma,ficodiamalfi,cedarwood,bot
89,acquadiparma,ficodiamalfi,benzoin,bot
90,acquadiparma,cipressoditoscana,orange,top
91,acquadiparma,cipressoditoscana,elemi,top
92,acquadiparma,cipressoditoscana,star anise accord,top
93,acquadiparma,cipressoditoscana,lavandin,mid
94,acquadiparma,cipressoditoscana,clary sage,mid
95,acquadiparma,cipressoditoscana,petit grain,mid
96,acquadiparma,cipressoditoscana,fir balsam,bot
97,acquadiparma,cipressoditoscana,cypress,bot
98,acquadiparma,cipressoditoscana,pine needles,bot
99,acquadiparma,chinottodiliguria,chinotto,top
100,acquadiparma,chinottodiliguria,mandarin,top
101,acquadiparma,chinottodiliguria,jasmine,mid
102,acquadiparma,chinottodiliguria,geranium,mid
103,acquadiparma,chinottodiliguria,rosemary,mid
104,acquadiparma,chinottodiliguria,cardamom,mid
105,acquadiparma,chinottodiliguria,patchouli,bot
106,acquadiparma,chinottodiliguria,musk,bot
107,acquadiparma,mirtodipanarea,myrtle,top
108,acquadiparma,mirtodipanarea,basil,top
109,acquadiparma,mirtodipanarea,italian lemon,top
110,acquadiparma,mirtodipanarea,italian bergamot,top
111,acquadiparma,mirtodipanarea,marine breeze,mid
112,acquadiparma,mirtodipanarea,jasmine absolute,mid
113,acquadiparma,mirtodipanarea,damask rose absolute,mid
114,acquadiparma,mirtodipanarea,lentisc ansolute,bot
115,acquadiparma,mirtodipanarea,juniper,bot
116,acquadiparma,mirtodipanarea,virginian cedarwood,bot
117,acquadiparma,mirtodipanarea,amber,bot
118,acquadiparma,bergamottodicalabria,calabrian bergamot dop,top
119,acquadiparma,bergamottodicalabria,citron,top
120,acquadiparma,bergamottodicalabria,cedarwood,mid
121,acquadiparma,bergamottodicalabria,red ginger,mid
122,acquadiparma,bergamottodicalabria,vetiver,bot
123,acquadiparma,bergamottodicalabria,benzoin,bot
124,acquadiparma,bergamottodicalabria,musk,bot
125,acquadiparma,mandorlodisicilia,star anise,top
126,acquadiparma,mandorlodisicilia,italian bergamot,top
127,acquadiparma,mandorlodisicilia,italian orange,top
128,acquadiparma,mandorlodisicilia,green almonds,mid
129,acquadiparma,mandorlodisicilia,ylang ylang,mid
130,acquadiparma,mandorlodisicilia,madagascar vanilla,bot
131,acquadiparma,mandorlodisicilia,lebanese cedarwood,bot
132,acquadiparma,mandorlodisicilia,tolu balsam,bot
133,acquadiparma,mandorlodisicilia,musk,bot
134,acquadiparma,oud,bergamot,top
135,acquadiparma,oud,orange,top
136,acquadiparma,oud,haitian amyris oil,mid
137,acquadiparma,oud,russian coriander,mid
138,acquadiparma,oud,agarwood oil (oud),mid
139,acquadiparma,oud,cedarwood,bot
140,acquadiparma,oud,leather accord,bot
141,acquadiparma,oud,patchouli oil,bot
142,acquadiparma,oud,sandalwood,bot
143,acquadiparma,oud,musk,bot
144,acquadiparma,leather,brazilian orange,top
145,acquadiparma,leather,sicilian lemon,top
146,acquadiparma,leather,raspberry accord,top
147,acquadiparma,leather,red thyme,mid
148,acquadiparma,leather,honeysuckle,mid
149,acquadiparma,leather,petitgrain,mid
150,acquadiparma,leather,rose accord,mid
151,acquadiparma,leather,leather accord,bot
152,acquadiparma,leather,cedar,bot
153,acquadiparma,leather,paraguayan guaiac oil,bot
154,acquadiparma,ambra,orange,top
155,acquadiparma,ambra,bergamot,top
156,acquadiparma,ambra,petitgrain,top
157,acquadiparma,ambra,rose,mid
158,acquadiparma,ambra,nagarmotha,mid
159,acquadiparma,ambra,cedarwood,mid
160,acquadiparma,ambra,patchouli,mid
161,acquadiparma,ambra,ambergris,bot
162,acquadiparma,ambra,sandalwood,bot
163,acquadiparma,ambra,labdanum,bot
164,acquadiparma,ambra,vanilla,bot
165,acquadiparma,ambra,musk,bot
166,acquadiparma,quercia,lemon,top
167,acquadiparma,quercia,bergamot,top
168,acquadiparma,quercia,petitgrain,top
169,acquadiparma,quercia,pink pepper,top
170,acquadiparma,quercia,cardamom,mid
171,acquadiparma,quercia,geranium,mid
172,acquadiparma,quercia,cedarwood,mid
173,acquadiparma,quercia,tonka bean,bot
174,acquadiparma,quercia,patchouli,bot
175,acquadiparma,quercia,oakmoss,bot
176,acquadiparma,sandalo,bergamot,top
177,acquadiparma,sandalo,lemon,top
178,acquadiparma,sandalo,orange,top
179,acquadiparma,sandalo,petitgrain,top
180,acquadiparma,sandalo,lavender,mid
181,acquadiparma,sandalo,cardamom,mid
182,acquadiparma,sandalo,sandalwood,bot
183,acquadiparma,sandalo,amber,bot
184,acquadiparma,sandalo,tonka bean,bot
185,acquadiparma,vaniglia,bergamot,top
186,acquadiparma,vaniglia,mandarin,top
187,acquadiparma,vaniglia,neroli,top
188,acquadiparma,vaniglia,heliotrhope,top
189,acquadiparma,vaniglia,jasmine sambac,mid
190,acquadiparma,vaniglia,vanilla,mid
191,acquadiparma,vaniglia,cedarwood,bot
192,acquadiparma,vaniglia,musk,bot
193,acquadiparma,yuzu,yuzu,top
194,acquadiparma,yuzu,bergamot,top
195,acquadiparma,yuzu,sichuan pepper,top
196,acquadiparma,yuzu,lotus,mid
197,acquadiparma,yuzu,mimosa,mid
198,acquadiparma,yuzu,violet leaves,mid
199,acquadiparma,yuzu,jasmine,mid
200,acquadiparma,yuzu,musk,bot
201,acquadiparma,yuzu,liquorice,bot
202,acquadiparma,yuzu,sandalwood,bot
203,acquadiparma,camelia,bergamot,top
204,acquadiparma,camelia,yellow mandarin,top
205,acquadiparma,camelia,pink pepper,top
206,acquadiparma,camelia,cardamom,top
207,acquadiparma,camelia,camelia accord,mid
208,acquadiparma,camelia,clary sage,mid
209,acquadiparma,camelia,benzoin resinoid,bot
210,acquadiparma,camelia,musk,bot
211,acquadiparma,osmanthus,green mandarin,top
212,acquadiparma,osmanthus,neroli,top
213,acquadiparma,osmanthus,peony,mid
214,acquadiparma,osmanthus,pink pepper,mid
215,acquadiparma,osmanthus,ambrette,mid
216,acquadiparma,osmanthus,osmanthus,bot
217,acquadiparma,osmanthus,patchouli,bot
218,acquadiparma,sakura,bergamot,top
219,acquadiparma,sakura,yellow mandarin,top
220,acquadiparma,sakura,pink pepper,top
221,acquadiparma,sakura,sakura,mid
222,acquadiparma,sakura,jasmine sambac,mid
223,acquadiparma,sakura,musk,bot
224,acquadiparma,rosanobile,tangerine,top
225,acquadiparma,rosanobile,calabrian bergamot,top
226,acquadiparma,rosanobile,pepper,top
227,acquadiparma,rosanobile,centifolia rose absolute,mid
228,acquadiparma,rosanobile,peony accord,mid
229,acquadiparma,rosanobile,violet,mid
230,acquadiparma,rosanobile,lily-of-the-valley,mid
231,acquadiparma,rosanobile,musk,bot
232,acquadiparma,rosanobile,virginian cedarwood,bot
233,acquadiparma,rosanobile,ambergris,bot
234,acquadiparma,peonianobile,black pepper,top
235,acquadiparma,peonianobile,raspberry accord,top
236,acquadiparma,peonianobile,peony accord,mid
237,acquadiparma,peonianobile,egyptian geranium,mid
238,acquadiparma,peonianobile,freesia accord,mid
239,acquadiparma,peonianobile,turkish rose,mid
240,acquadiparma,peonianobile,ambery accord,bot
241,acquadiparma,peonianobile,patchouli indonesia,bot
242,acquadiparma,peonianobile,musk,bot
243,acquadiparma,magnolianobile,calabrian bergamot,top
244,acquadiparma,magnolianobile,sicilian lemon,top
245,acquadiparma,magnolianobile,sicilian citron,top
246,acquadiparma,magnolianobile,magnolia,mid
247,acquadiparma,magnolianobile,bulgarian rose,mid
248,acquadiparma,magnolianobile,tuberose absolute,mid
249,acquadiparma,magnolianobile,jasmine sambac absolute,mid
250,acquadiparma,magnolianobile,sandalwood,bot
251,acquadiparma,magnolianobile,patchouli,bot
252,acquadiparma,magnolianobile,vetiver,bot
253,acquadiparma,magnolianobile,madagascar vanilla,bot
254,acquadiparma,notedicoloniai,bergamot,top
255,acquadiparma,notedicoloniai,neroli,top
256,acquadiparma,notedicoloniai,lavender,mid
257,acquadiparma,notedicoloniai,rose,mid
258,acquadiparma,notedicoloniai,violet accord,mid
259,acquadiparma,notedicoloniai,patchouli,bot
260,acquadiparma,notedicoloniai,cedarwood,bot
261,acquadiparma,notedicoloniaii,bergamot,top
262,acquadiparma,notedicoloniaii,orange,top
263,acquadiparma,notedicoloniaii,grapefruit,top
264,acquadiparma,notedicoloniaii,cardamom,top
265,acquadiparma,notedicoloniaii,basil,top
266,acquadiparma,notedicoloniaii,sandalwood,mid
267,acquadiparma,notedicoloniaii,guaiac,mid
268,acquadiparma,notedicoloniaii,musk,bot
269,acquadiparma,notedicoloniaii,vetiver,bot
270,acquadiparma,notedicoloniaiii,mandarin,top
271,acquadiparma,notedicoloniaiii,ginger,top
272,acquadiparma,notedicoloniaiii,vetiver,mid
273,acquadiparma,notedicoloniaiii,olibanum,mid
274,acquadiparma,notedicoloniaiii,jasmine,mid
275,acquadiparma,notedicoloniaiii,tonka bean,bot
276,acquadiparma,notedicoloniaiii,myrrh,bot
277,acquadiparma,notedicoloniaiii,ciste,bot
278,acquadiparma,notedicoloniaiv,bergamot,top
279,acquadiparma,notedicoloniaiv,green mandarin,top
280,acquadiparma,notedicoloniaiv,turkish rose,mid
281,acquadiparma,notedicoloniaiv,orange flower,mid
282,acquadiparma,notedicoloniaiv,opoponax,bot
283,acquadiparma,notedicoloniaiv,cisto ladbanum,bot
284,acquadiparma,notedicoloniaiv,patchouli,bot
285,acquadiparma,notedicoloniav,calabrian lemon,top
286,acquadiparma,notedicoloniav,calabrian bergamot,top
287,acquadiparma,notedicoloniav,pink pepper,top
288,acquadiparma,notedicoloniav,ginger,mid
289,acquadiparma,notedicoloniav,juniper,mid
290,acquadiparma,notedicoloniav,sandalwood,bot
291,acquadiparma,notedicoloniav,cedarwood,bot
292,byredo,mixedemotions,mate,top
293,byredo,mixedemotions,blackcurrant,top
294,byredo,mixedemotions,ceylon black tea,mid
295,byredo,mixedemotions,violet leaves,mid
296,byredo,mixedemotions,birch woods,bot
297,byredo,mixedemotions,payrus,bot
298,byredo,gypsywater,bergamot,top
299,byredo,gypsywater,juniper berries,top
300,byredo,gypsywater,lemon,top
301,byredo,gypsywater,pepper,top
302,byredo,gypsywater,incense,mid
303,byredo,gypsywater,orris,mid
304,byredo,gypsywater,pine needle,mid
305,byredo,gypsywater,amber,bot
306,byredo,gypsywater,sandalwood,bot
307,byredo,gypsywater,vanilla,bot
308,byredo,bald'afrique,african marigold,top
309,byredo,bald'afrique,bergamot,top
310,byredo,bald'afrique,bucchu,top
311,byredo,bald'afrique,cyclamen,mid
312,byredo,bald'afrique,violet,mid
313,byredo,bald'afrique,moroccan cedarwood,bot
314,byredo,bald'afrique,vetiver,bot
315,byredo,roseofnoman'sland,pink pepper,top
316,byredo,roseofnoman'sland,turkish rose petals,top
317,byredo,roseofnoman'sland,raspberry blossom,mid
318,byredo,roseofnoman'sland,turkish rose absolute,mid
319,byredo,roseofnoman'sland,papyrus,bot
320,byredo,roseofnoman'sland,white amber,bot
321,byredo,blanche,aldehyde,top
322,byredo,blanche,pink pepper,top
323,byredo,blanche,white rose,top
324,byredo,blanche,neroli,mid
325,byredo,blanche,peony,mid
326,byredo,blanche,violet,mid
327,byredo,blanche,blonde woods,bot
328,byredo,blanche,musk,bot
329,byredo,blanche,sandalwood,bot
330,byredo,mojaveghost,ambrette,top
331,byredo,mojaveghost,magnolia,mid
332,byredo,mojaveghost,sandalwood,mid
333,byredo,mojaveghost,violet,mid
334,byredo,mojaveghost,cedarwood,bot
335,byredo,mojaveghost,chantilly musk,bot
336,byredo,mojaveghost,crisp amber,bot
337,byredo,supercedar,rose petals,top
338,byredo,supercedar,virginian cedarwood,mid
339,byredo,supercedar,haitian vetiver,bot
340,byredo,supercedar,silk musk,bot
341,byredo,unnamed,unknown,top
342,byredo,unnamed,unknown,mid
343,byredo,unnamed,unknown,bot
344,byredo,latulipe,cyclamen,top
345,byredo,latulipe,freesia,top
346,byredo,latulipe,rhubarb,top
347,byredo,latulipe,tulip,mid
348,byredo,latulipe,blonde woods,bot
349,byredo,latulipe,vetiver,bot
350,byredo,biblioth챔que,peach,top
351,byredo,biblioth챔que,plum,top
352,byredo,biblioth챔que,peony,mid
353,byredo,biblioth챔que,violet,mid
354,byredo,biblioth챔que,leather,bot
355,byredo,biblioth챔que,patchouli,bot
356,byredo,biblioth챔que,vanilla,bot
357,byredo,1996,black pepper,top
358,byredo,1996,juniper berries,top
359,byredo,1996,leather accord,mid
360,byredo,1996,orris,mid
361,byredo,1996,violet,mid
362,byredo,1996,black amber,bot
363,byredo,1996,patchouli,bot
364,byredo,1996,vanilla,bot
365,byredo,oudimmortel,cardamom,top
366,byredo,oudimmortel,incense,top
367,byredo,oudimmortel,brazilian rosewood,mid
368,byredo,oudimmortel,papyrus,mid
369,byredo,oudimmortel,patchouli,mid
370,byredo,oudimmortel,moss,bot
371,byredo,oudimmortel,tobacco leaves,bot
372,byredo,eleventhhour,bergamot,top
373,byredo,eleventhhour,ban timmur,top
374,byredo,eleventhhour,rum,mid
375,byredo,eleventhhour,carrot seeds,mid
376,byredo,eleventhhour,wild fig,mid
377,byredo,eleventhhour,tonka bean,bot
378,byredo,eleventhhour,cashmere woods,bot
379,byredo,mistermarvelous,mandarin leaves,top
380,byredo,mistermarvelous,neroli flower,top
381,byredo,mistermarvelous,bamboo,mid
382,byredo,mistermarvelous,green lavender,mid
383,byredo,mistermarvelous,black amber,bot
384,byredo,mistermarvelous,white cedarwood,bot
385,byredo,casablancalily,plum,top
386,byredo,casablancalily,gardenia,top
387,byredo,casablancalily,carnation,mid
388,byredo,casablancalily,indian tuberose,mid
389,byredo,casablancalily,rosewood,bot
390,byredo,casablancalily,honey accord,bot
391,byredo,sellier,cashmeran,top
392,byredo,sellier,black tea,top
393,byredo,sellier,leather accord,mid
394,byredo,sellier,tobacco leaves,mid
395,byredo,sellier,birch tree,bot
396,byredo,sellier,oakmoss,bot
397,byredo,reinedenuit,blackcurrant,top
398,byredo,reinedenuit,saffron,top
399,byredo,reinedenuit,incense,mid
400,byredo,reinedenuit,rose,mid
401,byredo,reinedenuit,ambrette seeds,bot
402,byredo,reinedenuit,patchouli,bot
403,byredo,rosenoir,cardamom,top
404,byredo,rosenoir,freesia,top
405,byredo,rosenoir,grapefruit,top
406,byredo,rosenoir,red berries,top
407,byredo,rosenoir,lily of the valley,mid
408,byredo,rosenoir,raspberry,mid
409,byredo,rosenoir,rose damascena,mid
410,byredo,rosenoir,violet,mid
411,byredo,rosenoir,jasmine,mid
412,byredo,rosenoir,moss,bot
413,byredo,rosenoir,musk,bot
414,byredo,rosenoir,patchouli,bot
415,byredo,rosenoir,cistus labdanum,bot
416,byredo,slowdance,opopanax,top
417,byredo,slowdance,geranium,mid
418,byredo,slowdance,labdanum,mid
419,byredo,slowdance,violet,mid
420,byredo,slowdance,patchouli,bot
421,byredo,slowdance,vanilla,bot
422,byredo,accordoud,blackberry,top
423,byredo,accordoud,rum,top
424,byredo,accordoud,saffron,top
425,byredo,accordoud,clary sage,mid
426,byredo,accordoud,leather accord,mid
427,byredo,accordoud,patchouli,bot
428,byredo,accordoud,powdery musks,bot
429,byredo,tobaccomandarin,mandarin,top
430,byredo,tobaccomandarin,coriander,top
431,byredo,tobaccomandarin,cumin,top
432,byredo,tobaccomandarin,labdanum,mid
433,byredo,tobaccomandarin,leather,mid
434,byredo,tobaccomandarin,tobacco,mid
435,byredo,tobaccomandarin,sandalwood,bot
436,byredo,tobaccomandarin,oud,bot
437,byredo,tobaccomandarin,olibanum,bot
438,byredo,m/mink,adoxal,top
439,byredo,m/mink,incense,mid
440,byredo,m/mink,amber,bot
441,byredo,m/mink,cedarwood,bot
442,byredo,m/mink,clover honey,bot
443,byredo,m/mink,patchouli leaf,bot
444,byredo,blacksaffron,juniper berries,top
445,byredo,blacksaffron,pomelo,top
446,byredo,blacksaffron,saffron,top
447,byredo,blacksaffron,accord cuir,mid
448,byredo,blacksaffron,black violet,mid
449,byredo,blacksaffron,cristal rose,mid
450,byredo,blacksaffron,blonde woods,bot
451,byredo,blacksaffron,raspberry,bot
452,byredo,blacksaffron,vetiver,bot
453,byredo,lilfleur,saffron,top
454,byredo,lilfleur,cassis,top
455,byredo,lilfleur,tangerine,top
456,byredo,lilfleur,leather,mid
457,byredo,lilfleur,damascena rose (oil),mid
458,byredo,lilfleur,amber,bot
459,byredo,lilfleur,blonde woods,bot
460,byredo,lilfleur,vanilla,bot
461,byredo,inflorescence,pink freesia,top
462,byredo,inflorescence,rose petals,top
463,byredo,inflorescence,lily of the valley,mid
464,byredo,inflorescence,magnolia,mid
465,byredo,inflorescence,fresh jasmine,bot
466,byredo,sundaycologne,bergamot,top
467,byredo,sundaycologne,cardamom,top
468,byredo,sundaycologne,star anise,top
469,byredo,sundaycologne,geranium,mid
470,byredo,sundaycologne,incense,mid
471,byredo,sundaycologne,lavender,mid
472,byredo,sundaycologne,moss,bot
473,byredo,sundaycologne,patchouli,bot
474,byredo,sundaycologne,vetiver,bot
475,byredo,sundazed,lemon,top
476,byredo,sundazed,mandarin,top
477,byredo,sundazed,neroli,mid
478,byredo,sundazed,jasmine sambac,mid
479,byredo,sundazed,musk,bot
480,byredo,sundazed,cotton candy,bot
481,byredo,palermo,bigarade,top
482,byredo,palermo,sicilian bergamot,top
483,byredo,palermo,fresh musk,mid
484,byredo,palermo,rose absolute,mid
485,byredo,palermo,ambrette flower,bot
486,byredo,palermo,skin musks,bot
487,byredo,pulp,bergamot,top
488,byredo,pulp,blackcurrant,top
489,byredo,pulp,cardamom,top
490,byredo,pulp,fig,mid
491,byredo,pulp,red apple,mid
492,byredo,pulp,tiare,mid
493,byredo,pulp,cedarwood,bot
494,byredo,pulp,peach flower,bot
495,byredo,pulp,praline,bot
496,byredo,flowerhead,angelica seeds,top
497,byredo,flowerhead,lingonberry,top
498,byredo,flowerhead,sicilian lemon,top
499,byredo,flowerhead,dewy tuberose,mid
500,byredo,flowerhead,rose petals,mid
501,byredo,flowerhead,wild jasmine sambac,mid
502,byredo,flowerhead,fresh amber,bot
503,byredo,flowerhead,suede,bot
504,byredo,velvethaze,ambrette,top
505,byredo,velvethaze,coconut water,top
506,byredo,velvethaze,patchouli leaves,mid
507,byredo,velvethaze,cotton musks,bot
508,byredo,velvethaze,cocoa absolu,bot
509,byredo,velvethaze,wild musk,bot
510,maisonmargiela,replicaatthebarber's,bigarade essence,top
511,maisonmargiela,replicaatthebarber's,basil essence,top
512,maisonmargiela,replicaatthebarber's,black pepper,top
513,maisonmargiela,replicaatthebarber's,geranium essence,mid
514,maisonmargiela,replicaatthebarber's,lavender,mid
515,maisonmargiela,replicaatthebarber's,rosemary essence,mid
516,maisonmargiela,replicaatthebarber's,tonka bean,bot
517,maisonmargiela,replicaatthebarber's,evernyl,bot
518,maisonmargiela,replicaatthebarber's,white musks,bot
519,maisonmargiela,replicaatthebarber's,notes of tonka beans and white musk,bot
520,maisonmargiela,replicaatthebarber's,black pepper,bot
521,maisonmargiela,replicaatthebarber's,rosemary,bot
522,maisonmargiela,replicaatthebarber's,basil accord,bot
523,maisonmargiela,replicabeachwalk,bergamot,top
524,maisonmargiela,replicabeachwalk,pink pepper,top
525,maisonmargiela,replicabeachwalk,lemon,top
526,maisonmargiela,replicabeachwalk,transluzone,mid
527,maisonmargiela,replicabeachwalk,ylang ylang,mid
528,maisonmargiela,replicabeachwalk,cococut milk,mid
529,maisonmargiela,replicabeachwalk,musk,bot
530,maisonmargiela,replicabeachwalk,cedar,bot
531,maisonmargiela,replicabeachwalk,benzoin,bot
532,maisonmargiela,replicabubblebath,crushed leaves accord,top
533,maisonmargiela,replicabubblebath,freesia,top
534,maisonmargiela,replicabubblebath,sambac jasmine from india,mid
535,maisonmargiela,replicabubblebath,infusion of egyptian jasmine,mid
536,maisonmargiela,replicabubblebath,infusion of tuberose,mid
537,maisonmargiela,replicabubblebath,rose from grasse,mid
538,maisonmargiela,replicabubblebath,peach,bot
539,maisonmargiela,replicabubblebath,cedar wood,bot
540,maisonmargiela,replicabubblebath,oak moss,bot
541,maisonmargiela,replicabythefireplace,pink pepper,top
542,maisonmargiela,replicabythefireplace,orange flower petals,top
543,maisonmargiela,replicabythefireplace,clove oil,top
544,maisonmargiela,replicabythefireplace,chestnut accord,mid
545,maisonmargiela,replicabythefireplace,gaiac wood oil,mid
546,maisonmargiela,replicabythefireplace,cade oil,mid
547,maisonmargiela,replicabythefireplace,vanilla accord,bot
548,maisonmargiela,replicabythefireplace,peru balsam,bot
549,maisonmargiela,replicabythefireplace,cashmeran,bot
550,maisonmargiela,replicacoffeebreak,pepper essence,top
551,maisonmargiela,replicacoffeebreak,orange flower petals firnat,top
552,maisonmargiela,replicacoffeebreak,patchouli prisma,top
553,maisonmargiela,replicacoffeebreak,cypriol,mid
554,maisonmargiela,replicacoffeebreak,tonka bean absolute,mid
555,maisonmargiela,replicacoffeebreak,benzoin siam resinoid,mid
556,maisonmargiela,replicacoffeebreak,vanilla absolute,bot
557,maisonmargiela,replicacoffeebreak,cedarwood,bot
558,maisonmargiela,replicacoffeebreak,vetiver,bot
559,maisonmargiela,replicaflowermarket,greenleaves accord,top
560,maisonmargiela,replicaflowermarket,freesia,top
561,maisonmargiela,replicaflowermarket,sambac jasmine,top
562,maisonmargiela,replicaflowermarket,egyptian jasmine,mid
563,maisonmargiela,replicaflowermarket,tuberose,mid
